PLU;Nombre;Ventas_Total
"30705";"PLATO INTER. SALMON CON RISOTTO DE CHAMPIÑONES 350 GRS APROX";"31"
"800008161";"SIX PACK CERVEZA KUNSTMANN LAGER BLANC 330 CC";"11"
"30440";"PASTA FIDEOS CON POLLO Y SALSA THAI 350 GRS APROX";"108"
"30405";"PASTA FIDEOS CON CAMARON Y SALSA THAI 350 GRS APROX";"133"
"6968";"PIZZA POLLO BARBECUE INDIVIDUAL 400 GRS APROX";"30"
"30369";"PIZZA HAWAIANA INDIVIDUAL 400 GRS APROX";"18"
"30429";"PIZZA SALAME PEPPERONI INDIVIDUAL 380 GRS APROX";"31"
"6955";"PIZZA VEGETARIANA INDIVIDUAL 380 GRS APROX";"20"
"7903";"PLATO CHILENO MERLUZA CANCATO CON QUINOA VERDE 360 GRS APROX";"15"
"1010";"ENSALADA CESAR POLLO 300 GRS APROX";"111"
"61212";"PAN HAMBURGUESA CON CERVEZA 580 GR APROX";"63"
"363";"PAN MOLDE CON CERVEZA  450  APROX";"91"
"807";"PASTEL TORTA CALUGA ";"64"
"915";"BAGUETTE MASA MADRE";"8"
"16083";"PAN HOTELERO 700GR";"113"
"16014";"PAN MOLDE INTEGRAL ";"129"
"30954";"HOTELERO INTEGRAL";"83"
"22156";"GALLETON AVENA / FRUTOS ROJOS";"180"
"326";"SANDWICH BAGEL CHAMPIÑON QUESO CREMA PESTO 220 GRS";"82"
"60541";"GALLETON AVENA PASAS Y NUECES";"477"
"322";"SANDWICH BAGEL QUESO DE CABRA PESTO TOMATE 220 GRS ";"68"
"550";"CIABATTA RUSTICO INTGRAL ENV 400 GR";"91"
"9894";"CIABATTA RUSTICO  INTEGRAL KG";"319.16299999999995"
"800007935";"PACK X 3 LECHE CON CHC LIGHT 330ML";"1"
"11800";"PACK 6 LECHE ENTERA COLUN 200ML";"17"
"800007785";"PACK 3 LECHE CAPPUCCINO COLUN 330ML";"1"
"254";"PIZZA POLLO BBQ 630 GRS APROX";"30"
