PLU;Nombre;Ventas_Total
"30705";"PLATO INTER. SALMON CON RISOTTO DE CHAMPIÑONES 350 GRS APROX";"35"
"30385";"PLATO INTER. RIÑONES AL JEREZ CON ARROZ 350 GRS APROX";"5"
"30440";"PASTA FIDEOS CON POLLO Y SALSA THAI 350 GRS APROX";"123"
"30405";"PASTA FIDEOS CON CAMARON Y SALSA THAI 350 GRS APROX";"148"
"6968";"PIZZA POLLO BARBECUE INDIVIDUAL 400 GRS APROX";"31"
"30429";"PIZZA SALAME PEPPERONI INDIVIDUAL 380 GRS APROX";"35"
"30369";"PIZZA HAWAIANA INDIVIDUAL 400 GRS APROX";"20"
"6955";"PIZZA VEGETARIANA INDIVIDUAL 380 GRS APROX";"21"
"1010";"ENSALADA CESAR POLLO 300 GRS APROX";"130"
"7903";"PLATO CHILENO MERLUZA CANCATO CON QUINOA VERDE 360 GRS APROX";"17"
"363";"PAN MOLDE CON CERVEZA  450  APROX";"101"
"61212";"PAN HAMBURGUESA CON CERVEZA 580 GR APROX";"79"
"915";"BAGUETTE MASA MADRE";"8"
"807";"PASTEL TORTA CALUGA ";"64"
"16083";"PAN HOTELERO 700GR";"140"
"16014";"PAN MOLDE INTEGRAL ";"161"
"30954";"HOTELERO INTEGRAL";"90"
"22156";"GALLETON AVENA / FRUTOS ROJOS";"213"
"322";"SANDWICH BAGEL QUESO DE CABRA PESTO TOMATE 220 GRS ";"86"
"326";"SANDWICH BAGEL CHAMPIÑON QUESO CREMA PESTO 220 GRS";"104"
"60541";"GALLETON AVENA PASAS Y NUECES";"543"
"550";"CIABATTA RUSTICO INTGRAL ENV 400 GR";"94"
"9894";"CIABATTA RUSTICO  INTEGRAL KG";"352.04299999999995"
"800007935";"PACK X 3 LECHE CON CHC LIGHT 330ML";"1"
"11800";"PACK 6 LECHE ENTERA COLUN 200ML";"20"
"800007785";"PACK 3 LECHE CAPPUCCINO COLUN 330ML";"1"
"800007931";"PACK X 6 LECHE SEMI DESCREMADA ";"4"
"254";"PIZZA POLLO BBQ 630 GRS APROX";"39"
"182";"PIZZA VEGETARIANA 630 GRS APROX";"30"
"180";"PIZZA SALAME PEPPERONI 630 GRS APROX";"48"
"6945";"PIZZA CUATRO QUESOS 620 GRS APROX";"20"
"13490";"PIZZA CAMARON QUESO 660 GRS APROX";"62"
"80033";"PACK 6 LECHE CHOC COLUN S/LACTOSA 200ML ";"10"
"80065";"PACK X 6 LECHE COOKIES SOPROLE 220ML";"1"
"80098";"PACK 6 LECHE CHOCOLATE ORIGEN COLUN 220ML";"28"
"80094";"PACK 6 LECHE FRUTILLA COLUN 220ML";"17"
"80022";"PACK 6 LECHE VAINILLA COLUN 220ML";"7"
"6944";"PIZZA HAWAIANA 615 GRS APROX";"23"
"6947";"PASTA LASAÑA DE SALMON Y ESPINACA 2 PORCIONES 800 GRS APROX";"20"
"9987";" LECHE CHOCO ZERO LACTO 200 ML";"7"
"30435";"POSTRE PANNA COTTA CON FRAMBUESA 190 GRS APROX";"32"
"30380";"POSTRE ARROZ CON LECHE 230 GRS APROX";"8"
"30381";"POSTRE PANNA COTTA CON COCO Y MANGO 190 GRS APROX";"18"
"30419";"POSTRE SEMOLA CON SALSA DE MARACUYA 190 GRS APROX";"27"
"6996";"PLATO CHILENO PASTEL DE CHOCLO 2 PORCIONES 800 GRS APROX";"31"
"6974";"PLATO INTER. ALBONDIGAS ATOMATADAS CON POLENTA CREMOSA 350 GRS APROX";"14"
"30438";"SANDWICH PAN DE CERVEZA SALMON AHUMADO EN FRIO 240 GRS APROX";"24"
"30412";"PASTA LASAÑA BOLOÑESA HALOPACK 400 GRS APROX";"37"
"30394";"SANDWICH PAN DE CERVEZA JAMON SERRANO 240 GRS APROX";"14"
"30422";"HAMBURGUESA PAN DE CERVEZA 370 GRS APROX";"43"
"30414";"PLATO CHILENO PASTEL DE CHOCLO HALOPACK 400 GRS APROX";"22"
"30372";"PLATO INTER. POLLO CON SALSA DE CHAMPIÑONES Y PURE 350 GRS APROX";"38"
"30704";"PLATO INTER. AJI DE GALLINA CON ARROZ 360 GRS APROX";"36"
"30395";"PLATO CHILENO CARNE MECHADA CON PAST. DE CHOCLO 360 GRS APROX";"52"
"30186";"TORTA PINA 19 CM";"11"
"917";"PAN HAMBURGUESA FABR PROPIA";"185.653"
"22021";"POSTRE PIE FRAMBUESA 145 GR APRO";"15"
"7902";"PASTA LASAÑA VEGETARIANA 2 PORCIONES 800 GRS APROX";"15"
"94156";"POSTRE PIE MARACUYA 145 APROX ";"14"
"90123";"POSTRE PAI LIMON 145 GR APROX";"16"
"30371";"PLATO INTER. POLLO CON SALSA CUATRO QUESOS Y PAPAS ASADAS 350 GRS APROX";"30"
"22136";"KUCHEN DE ARANDANO";"33"
"22115";"PASTEL FIESTA VALDIVIANA IND.";"21"
"22085";"KUCHEN DE FRAMBUESA";"182"
"6946";"PASTA LASAÑA BOLOÑESA 2 PORCIONES 800 GRS APROX";"37"
"22050";"PIE DE LIMON ENTERO pst";"96"
"22041";"MENDOCINOS pst";"252"
"30428";"GOHAN POLLO TERIYAKI 450 GRS APROX";"811"
"30434";"GOHAN SALMON 450 GRS APROX";"295"
"30488";"GOHAN CAMARON 450 GRS APROX";"283"
"30486";"GOHAN ACEVICHADO 450 GRS APROX";"285"
"30480";"GOHAN CHAMPIÑON 450 GRS APROX";"90"
"928";"PAN ITALIANO KG";"1932.8819999999996"
"22258";"PASTEL FLOR DE LOTO IND.";"47"
"104";"PAN TOSCANO";"334.56600000000003"
"94159";"TORTA WHISKY ";"2"
"30300";"TORTA FLOR DE LOTO 19 CM";"5"
"22102";"TORTA  ONCOL  19 CM";"29"
"71240";"TORTA CELESTIAL VASO";"31"
"71239";"TORTA BAILEYS OTOÑAL VASO";"17"
"6949";"TORTA TIRAMISU VASO";"44"
"60598";"VASO SELVA NEGRA";"13"
"22072";"TORTA FIESTA VALDIVIANA 19 CM";"14"
"22006";"BRAZO DE REINA";"63"
"408";"PAN CIABATTA RUSTICO GRANEL";"1169.2509999999997"
"30465";"STRUDEL ALEMAN";"15"
"9654";"TORTA CELESTIAL M ";"22"
"22153";"TORTA BELZEBOO";"1"
"30445";"CHEESECAKE FRAMBUESA";"16"
"22056";"TARTALETA DE FRUTAS";"23"
"60594";"TORTA CALUGA M";"26"
"60612";"PIE RELLENO DE MARACUYA";"32"
"22126";"BRAZO DE REINA CHOCOLATE GRANILLO";"66"
"30447";"CHEESECAKE MARACUYA";"9"
"778433576";"PAN DE PASCUA TEJAFOOD";"18"
"22129";"PIE DE FRAMBUESA";"63"
"60532";"TORTA ZANAHORIA M";"10"
"65099";"KUCHEN FRUTOS DEL BOSQUE TEJA MARKET";"98"
"22248";"KUCHEN DE NUEZ";"50"
"30409";"QUEQUE ARTESANAL TEJA FOOD";"14"
"800007547";"SIX PACK LEMON STONES SANDÍA LATA 350 CC";"9"
"9981";"PERNIL DE CERDO AL HORNO";"5"
"90";"GALLETON AVENA ZANAHORIA ";"31"
"60614";"TARTA MANZANA MURTA";"24"
"16038";"PAN MOLDE INTEGRAL SEMILLAS";"256"
"916";"MIX DE TARTAS ";"22"
"30490";"POSTRE VASO MIX DE FRUTA 300 GRS APROX";"124"
"23017";"POLLO ASADO ENTERO KG";"617.73"
"6995";"SANDWICH PITA SALMON AHUMADO";"176"
"6952";"SANDWICH MIGA AVE PIMIENTO";"90"
"18";"TUTO LARGO DE POLLO KG AUTOSERV";"1"
"7606";"CARNE MOLIDA NAC TEJA FOOD KG";"255.456"
"20";"CHULETA CENTRO KG AUTOSERV";"0.612"
"50087";"POLLO ASADO CON PAPAS FRITAS";"74"
"87";"TARTALETA PASTA FLORA";"20"
"30443";"CHEESECAKE INDIVIDUAL";"92"
"117";"KUCHEN MIGA RELLENO";"54"
"22055";"TARTALETA DE FRUTA INDIVIDUAL";"86"
"30563";"CHEESECAKE DE MURTA";"6"
"30387";"PASTA FLORA INDIVIDUAL";"156"
"22167";"TORTA SELVA VALDIVIANA";"20"
